ESC000;Villa Marina;Dette hotellet, en gammel hjemsøkt herregård, tilbyr imponerende utsikt over havet. Mellom veggene hvisker legender fra fortiden, og det ryktes at skygger danser i vinduene ved skumringen. Likevel fanger majesteten til havet fra rommene deres de modige besøkendes oppmerksomhet;Italia;85;Ap-De-Ru
ESC001;Baskisk herregård;Denne baskiske herregården, et vitne til tiden, reiser seg som en relikvie av gamle historier. Fra vinduene ruller det grønne landskapet bølgende med brisen. Rurale legender blir levende mellom steinveggene, mens landskapsutsikten fanger de som våger å oppdage hemmelighetene til dette århundregamle hjemmet;Spania;110;Ap-De-Ol-Ru
ESC002;Høsthus;I en mystisk skog smelter dette høsthuset sammen med fargepaletten til årstiden. Vinduene reflekterer dansen av gyldne blader, mens hjørnene holder naturens hvisken. Et sjarmerende tilfluktssted for høstelskere;Østerrike;95;De-Ru
ESC003;Strandrefugium;Beliggende på en solrik strand, inviterer dette strandrefugiet til hvile med utsikt over det uendelige havet. Sjøbrisen stryker vinduene, skaper en avslappende symfoni. Et idyllisk reisemål for de som søker ro ved havet;Hellas;165;Ap-De-Ol-Ru
ESC004;Forlatt bygning;I hjertet av byen blir en forlatt bygning et stille vitne til fortiden. Tomme ganger og ødelagte vinduer forteller glemte historier. En unik opplevelse for de som søker skjønnhet i byens forfall;Frankrike;55;Ap-Ru
ESC005;Palass i villaen;Blant eksklusive hager er dette palasset i en villa en arkitektonisk juvel. De overdådige salene forteller historier om adelskap og eleganse. En mulighet til å fordype seg i luksusen til det palasslivet;Italia;225;Ap-De-Ol-Ru
ESC006;Elegant bolig;En annen elegant bolig venter i en forhekset villa. De utsøkt dekorerte rommene transporterer besøkende til en tid med overflod og sofistikasjon. En sjarmerende tilflukt for elskere av klassisk skjønnhet;Portugal;275;De-Ol
ESC007;Skogshytte;I en mystisk og skremmende myr gir denne hytta en unik opplevelse. Tåken dekker landskapet, skaper en intrigerende atmosfære. For de tøffe som søker spenningen av det ukjente;Romania;130;Ap-De-Ol-Ru
ESC008;Forhekset luksushus;Dette forheksede luksushuset kombinerer modernitet med sjarmen til fortiden. Førsteklasses fasiliteter og sjarmerende detaljer gjør det til et eksklusivt valg for reisende som søker det beste fra begge verdener;Sveits;750;Ap-De-Ob-Ol-Ru
ESC009;Moderne herregård;I en luksuriøs setting tilbyr denne moderne herregården en opplevelse av moderne luksus. De elegante interiørene og førsteklasses tjenestene garanterer et uforglemmelig opphold for de som søker det siste innen komfort og stil;Tyskland;1350;Ap-De-Ob-Ol-Ru
