ESC000;Villa Marina;Detta hotell, en gammal hemsökt herrgård, erbjuder hisnande utsikt över havet. Inom sina väggar viskar legender från förr, och det ryktas att skuggor dansar i fönstren vid skymning. Trots detta fångar havets majestät från dess rum uppmärksamheten hos modiga besökare;Italien;85;Ap-De-Ru
ESC001;Baskisk Herrgård;Denna baskiska herrgård, ett vittne till tiden, står som en relik av uråldriga berättelser. Genom sina fönster vajar det gröna landskapet av fälten med brisen. Landsbygdslegender blir levande inom sina stenväggar, medan landskapsvyerna fångar dem som vågar avslöja detta sekelgamla hemlighetsfulla hem;Spanien;110;Ap-De-Ol-Ru
ESC002;Hösthus;I en mystisk skog smälter detta hösthus samman med färgpaletten för säsongen. Dess fönster speglar dansen av gyllene löv, medan dess hörn bevarar naturens viskningar. En charmig tillflyktsort för älskare av hösten;Österrike;95;De-Ru
ESC003;Strandretreat;Beläget på en solig strand, bjuder detta strandretreat in till vila med sina oändliga havsutsikter. Havets bris smeker fönstren och skapar en avslappnande symfoni. En idyllisk destination för de som söker stillhet vid havet;Grekland;165;Ap-De-Ol-Ru
ESC004;Öde Byggnad;I stadens hjärta blir en övergiven byggnad ett tyst vittne till det förflutna. Dess tomma korridorer och trasiga fönster berättar glömda historier. En unik upplevelse för de som söker skönhet i stadens förfall;Frankrike;55;Ap-Ru
ESC005;Palats i Villan;Bland utsökta trädgårdar är detta palats i en villa en arkitektonisk pärla. Dess storslagna salar berättar sagor om adelskap och elegans. En möjlighet att fördjupa sig i lyxen av palatslivet;Italien;225;Ap-De-Ol-Ru
ESC006;Elegant Bostad;En annan elegant bostad väntar i en förtrollad villa. Dess exklusivt inredda rum transporterar besökare till en tid av överflöd och sofistikering. En charmig reträtt för älskare av klassisk skönhet;Portugal;275;De-Ol
ESC007;Sumpretreat;I en mystisk och kuslig träsk erbjuder detta reträtt en unik upplevelse. Dimman täcker landskapet och skapar en intrikat atmosfär. För de modiga som söker spänningen av det okända;Rumänien;130;Ap-De-Ol-Ru
ESC008;Förtrollat Lyxhus;Detta förtrollade lyxhus kombinerar modernitet med charmen från det förflutna. Förstklassiga bekvämligheter och charmiga detaljer gör det till ett exklusivt val för resenärer som söker det bästa av båda världarna;Schweiz;750;Ap-De-Ob-Ol-Ru
ESC009;Modernt Herresäte;I en lyxig miljö erbjuder detta moderna herresäte en upplevelse av samtida lyx. Dess eleganta interiörer och högklassiga tjänster garanterar en oförglömlig vistelse för de som söker det ultimata inom komfort och stil;Tyskland;1350;Ap-De-Ob-Ol-Ru
